,headline,cities,latitude,longitude,countrycode,cluster
0,Zika Outbreak Hits Miami,Miami,25.77427,-80.19366,US,0
1,Could Zika Reach New York City?,New York City,40.71427,-74.00596999999999,US,0
2,First Case of Zika in Miami Beach,Miami Beach,25.79065,-80.13005,US,0
3,"Mystery Virus Spreads in Recife, Brazil",Recife,-8.053889999999999,-34.88111,BR,1
4,Dallas man comes down with case of Zika,Dallas,32.78306,-96.80667,US,0
5,Trinidad confirms first Zika case,Trinidad,-14.833329999999998,-64.9,BO,0
6,Zika Concerns are Spreading in Houston,Houston,29.763279999999998,-95.36327,US,0
7,Geneve Scientists Battle to Find Cure,Geneve,46.202220000000004,6.14569,CH,2
8,The CDC in Atlanta is Growing Worried,Atlanta,33.749,-84.38798,US,0
9,Zika Infested Monkeys in Sao Paulo,Sao Paulo,-23.5475,-46.636109999999995,BR,1
10,Brownsville teen contracts Zika virus,Brownsville,25.90175,-97.49748000000001,US,0
11,Mosquito control efforts in St. Louis take new tactics with Zika threat,St. Louis,38.62727,-90.19789,US,0
12,San Juan reports 1st U.S. Zika-related death amid outbreak,San Juan,-31.5375,-68.53639,AR,1
13,"Flu outbreak in Galveston, Texas",Galveston,29.30135,-94.7977,US,0
14,"Zika alert aEUR"" Manila now threatened",Manila,14.6042,120.9822,PH,3
15,Zika afflicts 7 in Iloilo City,Iloilo,10.69694,122.56443999999999,PH,3
16,New Los Angeles Hairstyle goes Viral,Los Angeles,34.05223,-118.24368,US,0
17,Orlando volunteers aid Zika research,Orlando,28.53834,-81.37924,US,0
18,Chicago's First Zika Case Confirmed,Chicago,41.85003,-87.65005,US,0
19,Tampa Bay Area Zika Case Count Climbs,Tampa,27.94752,-82.45843,US,0
20,"Bad Water Leads to Sickness in Flint, Michigan",Flint,43.01253,-83.68746,US,0
21,Baltimore plans for Zika virus,Baltimore,39.29038,-76.61219,US,0
22,London Health Unit Tracks Mad Cow Disease,London,51.50853,-0.12574000000000002,GB,2
23,Zika cases in Vietnam's Ho Chi Minh City surge,Ho Chi Minh City,10.82302,106.62965,VN,3
24,Philadelphia experts track pandemic,Philadelphia,39.952329999999996,-75.16379,US,0
25,Flu season hits Boston,Boston,42.35843,-71.05977,US,0
26,Scientists in Paris to look for answers,Paris,48.85341,2.3488,FR,2
27,Key Zika Findings in San Diego Institute,San Diego,32.715709999999994,-117.16471999999999,US,0
28,Thailand-Zika Virus in Bangkok,Bangkok,13.753979999999999,100.50144,TH,3
29,Beijing team cracks Zika secret,Beijing,39.9075,116.39723000000001,CN,-1
30,Zika spreading to Salvador,Salvador,-12.971110000000001,-38.51083,BR,1
31,Kuala Lumpur is Hit By Zika Threat,Kuala Lumpur,3.1412,101.68653,MY,3
32,First Zika case confirmed in Yangon,Yangon,16.80528,96.15611,MM,3
33,Tallahassee Doctors Discuss Zika Virus,Tallahassee,30.438259999999996,-84.28073,US,0
34,Zika Virus Reaches San Francisco,San Francisco,37.77493,-122.41942,US,0
35,New Vaccine on Trial in Bethesda District,Bethesda,38.98067,-77.10025999999999,US,0
36,Townsville Zika tests inconclusive,Townsville,-19.266389999999998,146.80569,AU,4
37,Mandaluyong City under Siege by Virus,Mandaluyong City,14.5832,121.0409,PH,3
38,Hepatitis E re-emerges in Santa Rosa,Santa Rosa,14.312220000000002,121.11138999999999,PH,3
39,Zika worries in San Salvador,San Salvador,13.68935,-89.18718,SV,0
40,Zika virus reported in Cleveland,Cleveland,41.4995,-81.69541,US,0
41,More Zika patients reported in Austin,Austin,30.26715,-97.74306,US,0
42,"Zika outbreak in Piracicaba, Brazil",Piracicaba,-22.725279999999998,-47.64917,BR,1
43,Lima tries to address Zika Concerns,Lima,-12.04318,-77.02824,PE,0
44,More people in Toronto are infected with Hepatitis E every year,Toronto,43.700109999999995,-79.4163,CA,0
45,18 new Zika Cases in Bogota,Bogota,4.60971,-74.08175,CO,0
46,Brisbane is infested with Meningitis,Brisbane,-27.467940000000002,153.02809,AU,4
47,Cholera outbreak in Dakar,Dakar,14.6937,-17.44406,SN,5
48,Zika Virus Transmission Detected in Havana,Havana,23.133020000000002,-82.38304000000001,CU,0
49,Zika symtomps spotted in Key West,Key West,24.555239999999998,-81.78163,US,0
50,Case of Measles Reported in Vancouver,Vancouver,49.24966,-123.11934,CA,0
51,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",Seattle,47.60621,-122.33207,US,0
52,Nashville takes precautions against Zika,Nashville,36.165890000000005,-86.78444,US,0
53,Saint Croix under Zika threat,Saint Croix,17.727510000000002,-64.74698000000001,VI,0
54,Fort Collins Encounters Severe Symptoms of Gonorrhea,Fort Collins,40.58526,-105.08442,US,0
55,"Zika surfaces in Klang, Malaysia",Klang,3.03667,101.44333,MY,3
56,Rumors about Meningitis spreading in Guatemala City have been refuted,Guatemala City,14.640720000000002,-90.51326999999999,GT,0
57,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],Madison,43.07305,-89.40123,US,0
